name,rarity,metric_1,metric_2,effect_1,effect_2,synergies,counters,img link
Barbecue and Chilli,Cannibal Teachable,aura,bloodpoint,Auras of all survivors further than 40 meters are revealed after hooking someone,Gain a 25% bloopoint boost from each new survivor hooked,Pop Goes the Weasel,na,img/IconPerks_barbecueAndChilli.png
Corrupt Intervention,Plague Teachable,slowdown,na,The 3 furthest generators are blocked by the entity for 2 minutes,na,Discordance,na,img/IconPerks_corruptIntervention.png
Pop Goes the Weasel,Clown Teachable,slowdown,na,Break 25% of a generator's progress after hooking someone,na,Oppression,na,img/IconPerks_popGoesTheWeasel.png
Ruin,Hag Teachable,hex,slowdown,200% generator regression rate,na,Undying,na,img/IconPerks_hexRuin.png
Infectious Fright,Plague Teachable,snowball,tracker,Reveal nearby survivors for 6 seconds when you put someone in the dying state,na,Unrelenting,na,img/IconPerks_infectiousFright.png
Tinkerer,Hillbilly Teachable,stealth,slowdown,Receive a loud noise event when a generator reaches 70%,You are undetectable for 16 seconds,Surveillance,na,img/IconPerks_tinkerer.png
Undying,Blight Teachable,hex,aura,All survivors within 2 meters of a totem are revealed for 6 seconds,Transfer other cleansed hex perks to an available dull totem,other hex perks,na,img/IconPerks_hexUndying.png
A Nurse's Calling,Nurse Teachable,aura,wounds,Aura of all healing survivors within 28 meters are revealed.,na,Sloppy Butcher,na,img/IconPerks_aNursesCalling.png
Monitor and Abuse,Doctor Teachable,terror,stealth,Increase terror radius by 8 meters while in a chase,Decrease terror radius by 8 meters and increase FOV by 10 degrees out of chases,Furtive Chase,na,img/IconPerks_monitorAndAbuse.png
Discordance,Legion Teachable,aura,isolating,Auras of generators are highlighted when 2 or more survivors are working on it,na,Infectious Fright,na,img/IconPerks_discordance.png
Save the Best for Last,Shape Teachable,obsession,slashing,Gain a 5% cool-down reduction on successful basic hits each time you hit anyone other than the obsession,Lose 2 tokens each time you hit the obsession. Lose the perk if the obsession is sacrificed,Sloppy Butcher,na,img/IconPerks_saveTheBestForLast.png
Thrilling Tremors,Ghostface Teachable,slowdown,na,All generators not being repaired are blocked by the entity for 16 seconds when you pick up a dying survivor,na,Infectious Fright,na,img/IconPerks_thrillingTremors.png
Surveillance,Pig Teachable,aura,tracker,Regressing generators are highlighted in a white aura. ,Generator repair noises are increased by 8 meters,Ruin,na,img/IconPerks_surveillance.png
Sloppy Butcher,All Killers,slowdown,tracker,Considerably increase bleeding,Cause the mangled status effect,Thanatophobia,na,img/IconPerks_sloppyButcher.png
Whispers,All Killers,tracker,na,Hear the entity whisper in your ears when a survivor is within 32 meters,na,Corrupt Intervention,na,img/IconPerks_whispers.png
Thanatophobia,Nurse Teachable,slowdown,na,"5% penalty to all actions other than healing for each injured, hooked, or dying survivor",20% penalty maximum.,,na,img/IconPerks_thanatophobia.png
Oppression,Twins Teachable,skillchecks,slowdown,3 other random generators begin regressing when you kick a generator,Survivors receive a difficult skill check if they are repairing the affected generator,"Pop Goes the Weasel, Brutal Strength",na,img/IconPerks_oppression.png
Bitter Murmur,All Killers,aura,na,Auras of all survivors within 16 meters are highlighted for 5 seconds when the generator is repaired,Aura of all survivors are revealed for 10 seconds after the last generator is repaired,Cruel Limits,na,img/IconPerks_bitterMurmur.png
Enduring,Hillbilly Teachable,chase,recovery,50% reduced pallet stuns,na,"Nemesis, Spirit Fury",na,img/IconPerks_enduring.png
Make Your Choice,Pig Teachable,expose,na,Hook rescuers receive exposed status for 60 seconds if you are at least 32 meters away from the hooked survivor,na,Furtive Chase,na,img/IconPerks_makeYourChoice.png
I'm All Ears,Ghostface Teachable,aura,chase,Auras of any survivors performing a rushed action within 48 meters are revealed for 6 seconds.,na,,na,img/IconPerks_imAllEars.png
Bamboozle,Clown Teachable,chase,na,15% faster vault speeds,Block the vaulted location for 16 seconds,,na,img/IconPerks_bamboozle.png
Haunted Grounds,Spirit Teachable,hex,expose,All survivors are exposed for 60 seconds if one of the two trapped totems are cleansed,na,"Retribution, Undying",na,img/IconPerks_hexHauntedGround.png
Lightborn,Hillbilly Teachable,recovery,aura,Immune to being blinded,Aura of any survivor attempting to blind you is revealed for 10 seconds,,na,img/IconPerks_lightborn.png
Remember Me,Nightmare Teachable,endgame,obsession,Increase the exit gate opening time for each time you hit the obsession,na,Rancor,na,img/IconPerks_rememberMe.png
Devour Hope,Hag Teachable,expose,snowball,Receive a token for each time a survivor is unhooked and you are further than 24 meters,2 tokens: gain a 5% haste effect for 10 seconds. 3 tokens: all survivors are exposed. 5 tokens: mori anyone,BBQ and Chilli,na,img/IconPerks_hexDevourHope.png
